href,name,birthplace,deathplace,birth_lon,birth_lat,death_lon,death_lat
https://en.wikipedia.org/wiki/John_Balaban_(poet),John Balaban (poet),,,0,0,0,0
https://en.wikipedia.org/wiki/Jesse_Ball,Jesse Ball,"Port Jefferson, New York",,-73.0691257,40.9465118,0,0
https://en.wikipedia.org/wiki/Mary_Canfield_Ballard,Mary Canfield Ballard,,,0,0,0,0
https://en.wikipedia.org/wiki/Addie_L._Ballou,Addie L. Ballou,"Chagrin Falls, Ohio",,-81.3855058,41.436589,0,0
https://en.wikipedia.org/wiki/Russell_Banks,Russell Banks,,,0,0,0,0
https://en.wikipedia.org/wiki/Melissa_Elizabeth_Riddle_Banta,Melissa Elizabeth Riddle Banta,,,0,0,0,0
https://en.wikipedia.org/wiki/Amiri_Baraka,Amiri Baraka,,,0,0,0,0
https://en.wikipedia.org/wiki/Coleman_Barks,Coleman Barks,,,0,0,0,0
https://en.wikipedia.org/wiki/Joel_Barlow,Joel Barlow,,,0,0,0,0
https://en.wikipedia.org/wiki/Anita_Barnard,Anita Barnard,,,0,0,0,0
https://en.wikipedia.org/wiki/Mary_Barnard,Mary Barnard,,,0,0,0,0
https://en.wikipedia.org/wiki/Djuna_Barnes,Djuna Barnes,,,0,0,0,0
https://en.wikipedia.org/wiki/Jim_Barnes_(writer),Jim Barnes (writer),,,0,0,0,0
https://en.wikipedia.org/wiki/Annie_Wall_Barnett,Annie Wall Barnett,,,0,0,0,0
https://en.wikipedia.org/wiki/Catherine_Barnett,Catherine Barnett,San Francisco,,-122.419906,37.7790262,0,0
https://en.wikipedia.org/wiki/Laird_Barron,Laird Barron,,,0,0,0,0
https://en.wikipedia.org/wiki/Bertha_Hirsch_Baruch,Bertha Hirsch Baruch,,,0,0,0,0
https://en.wikipedia.org/wiki/Todd_Bash,Todd Bash,,,0,0,0,0
https://en.wikipedia.org/wiki/Ellen_Bass,Ellen Bass,,,0,0,0,0
https://en.wikipedia.org/wiki/Arlo_Bates,Arlo Bates,"East Machias, Maine","Boston, Massachusetts",-67.3899904,44.739244,-71.060511,42.3554334
https://en.wikipedia.org/wiki/David_Bates_(poet),David Bates (poet),,,0,0,0,0
https://en.wikipedia.org/wiki/Harriet_Bates,Harriet Bates,,,0,0,0,0
https://en.wikipedia.org/wiki/Joseph_Bathanti,Joseph Bathanti,,,0,0,0,0
https://en.wikipedia.org/wiki/Dawn-Michelle_Baude,Dawn-Michelle Baude,,,0,0,0,0
https://en.wikipedia.org/w/index.php?title=Eric_Baus&action=edit&redlink=1,Eric Baus (page does not exist),,,0,0,0,0
https://en.wikipedia.org/wiki/Charles_Baxter_(author),Charles Baxter (author),,,0,0,0,0
https://en.wikipedia.org/wiki/Abel_Beach,Abel Beach,,,0,0,0,0
https://en.wikipedia.org/wiki/Ray_Young_Bear,Ray Young Bear,,,0,0,0,0
https://en.wikipedia.org/wiki/Paul_Linebarger,Paul Linebarger,,,0,0,0,0
https://en.wikipedia.org/wiki/Paul_Beatty,Paul Beatty,,,0,0,0,0
https://en.wikipedia.org/wiki/Kenneth_Lawrence_Beaudoin,Kenneth Lawrence Beaudoin,,,0,0,0,0
https://en.wikipedia.org/wiki/George_Beck_(artist),George Beck (artist),,,0,0,0,0
https://en.wikipedia.org/wiki/Julian_Beck,Julian Beck,New York City,,-74.0060152,40.7127281,0,0
https://en.wikipedia.org/wiki/Larry_Beckett,Larry Beckett,"Glendale, California",,-118.2478471,34.1469416,0,0
https://en.wikipedia.org/wiki/Joshua_Beckman,Joshua Beckman,,,0,0,0,0
https://en.wikipedia.org/wiki/Lou_Singletary_Bedford,Lou Singletary Bedford,,,0,0,0,0
https://en.wikipedia.org/wiki/Ethel_Lynn_Beers,Ethel Lynn Beers,"Goshen (village), New York",,-74.34459304725078,41.3968094,0,0
https://en.wikipedia.org/wiki/Erin_Belieu,Erin Belieu,"Omaha, Nebraska",,-95.9383758,41.2587459,0,0
https://en.wikipedia.org/wiki/Marvin_Bell,Marvin Bell,,,0,0,0,0
https://en.wikipedia.org/wiki/Hester_A._Benedict,Hester A. Benedict,,,0,0,0,0
https://en.wikipedia.org/wiki/Stephen_Vincent_Ben%C3%A9t,Stephen Vincent Benét,,,0,0,0,0
https://en.wikipedia.org/wiki/William_Rose_Ben%C3%A9t,William Rose Benét,"Brooklyn, New York",New York City,-73.9497211,40.6526006,-74.0060152,40.7127281
https://en.wikipedia.org/wiki/Park_Benjamin_Sr.,Park Benjamin Sr.,,,0,0,0,0
https://en.wikipedia.org/wiki/John_Bensko,John Bensko,,,0,0,0,0
https://en.wikipedia.org/wiki/Nelson_Bentley,Nelson Bentley,,,0,0,0,0
https://en.wikipedia.org/wiki/Bill_Berkson,Bill Berkson,,,0,0,0,0
https://en.wikipedia.org/wiki/David_Berman_(musician),David Berman (musician),"Williamsburg, Virginia",,-76.7074042,37.2708788,0,0
https://en.wikipedia.org/wiki/Charles_Bernstein_(poet),Charles Bernstein (poet),,,0,0,0,0
https://en.wikipedia.org/wiki/Steven_Jesse_Bernstein,Steven Jesse Bernstein,,,0,0,0,0
https://en.wikipedia.org/wiki/Anselm_Berrigan,Anselm Berrigan,"Chicago, Illinois",,-87.6244212,41.8755616,0,0
https://en.wikipedia.org/wiki/Ted_Berrigan,Ted Berrigan,,,0,0,0,0
https://en.wikipedia.org/wiki/Wendell_Berry,Wendell Berry,,,0,0,0,0
https://en.wikipedia.org/wiki/John_Berryman,John Berryman,,,0,0,0,0
https://en.wikipedia.org/wiki/Mei-mei_Berssenbrugge,Mei-mei Berssenbrugge,,,0,0,0,0
https://en.wikipedia.org/wiki/Lorraine_Bethel,Lorraine Bethel,,,0,0,0,0
https://en.wikipedia.org/wiki/Helen_Bevington,Helen Bevington,,,0,0,0,0
https://en.wikipedia.org/wiki/Frank_Bidart,Frank Bidart,,,0,0,0,0
https://en.wikipedia.org/wiki/Ambrose_Bierce,Ambrose Bierce,,,0,0,0,0
https://en.wikipedia.org/wiki/Linda_Bierds,Linda Bierds,,,0,0,0,0
https://en.wikipedia.org/wiki/David_Biespiel,David Biespiel,,,0,0,0,0
https://en.wikipedia.org/wiki/Helen_Louisa_Bostwick_Bird,Helen Louisa Bostwick Bird,,,0,0,0,0
https://en.wikipedia.org/wiki/Elizabeth_Bishop,Elizabeth Bishop,,,0,0,0,0
https://en.wikipedia.org/wiki/John_Peale_Bishop,John Peale Bishop,,,0,0,0,0
https://en.wikipedia.org/wiki/Morris_Bishop,Morris Bishop,,,0,0,0,0
https://en.wikipedia.org/wiki/Sherwin_Bitsui,Sherwin Bitsui,,,0,0,0,0
https://en.wikipedia.org/wiki/Baxter_Black,Baxter Black,,,0,0,0,0
https://en.wikipedia.org/wiki/Sophie_Cabot_Black,Sophie Cabot Black,"New York, New York",,-74.0060152,40.7127281,0,0
https://en.wikipedia.org/wiki/Paul_Blackburn_(U.S._poet),Paul Blackburn (U.S. poet),,,0,0,0,0
https://en.wikipedia.org/wiki/Nicole_Blackman,Nicole Blackman,,,0,0,0,0
https://en.wikipedia.org/wiki/Kimberly_M._Blaeser,Kimberly M. Blaeser,,,0,0,0,0
https://en.wikipedia.org/wiki/Brian_Blanchfield,Brian Blanchfield,,,0,0,0,0
https://en.wikipedia.org/wiki/Don_Blanding,Don Blanding,,,0,0,0,0
https://en.wikipedia.org/wiki/Robin_Blaser,Robin Blaser,,,0,0,0,0
https://en.wikipedia.org/wiki/Anthony_Bleecker,Anthony Bleecker,"New York City, New York","New York City, New York",-74.0060152,40.7127281,-74.0060152,40.7127281
https://en.wikipedia.org/wiki/Adrian_Blevins,Adrian Blevins,"Abingdon, Virginia",,-81.975249,36.7104018,0,0
https://en.wikipedia.org/wiki/Benjamin_Paul_Blood,Benjamin Paul Blood,,,0,0,0,0
https://en.wikipedia.org/wiki/Henry_Ames_Blood,Henry Ames Blood,,,0,0,0,0
https://en.wikipedia.org/wiki/Roberts_Blossom,Roberts Blossom,"New Haven, Connecticut","Santa Monica, California",-72.9250518,41.3082138,-118.491227,34.0194704
https://en.wikipedia.org/wiki/Robert_Bly,Robert Bly,,,0,0,0,0
https://en.wikipedia.org/wiki/Maxwell_Bodenheim,Maxwell Bodenheim,,,0,0,0,0
https://en.wikipedia.org/wiki/Louise_Bogan,Louise Bogan,,,0,0,0,0
https://en.wikipedia.org/wiki/Arna_Bontemps,Arna Bontemps,,,0,0,0,0
https://en.wikipedia.org/wiki/Michelle_Boisseau,Michelle Boisseau,,,0,0,0,0
https://en.wikipedia.org/wiki/Laure-Anne_Bosselaar,Laure-Anne Bosselaar,,,0,0,0,0
https://en.wikipedia.org/wiki/Bruce_Boston,Bruce Boston,,,0,0,0,0
https://en.wikipedia.org/wiki/David_Bottoms,David Bottoms,,,0,0,0,0
https://en.wikipedia.org/wiki/Jenny_Boully,Jenny Boully,,,0,0,0,0
https://en.wikipedia.org/wiki/Geoff_Bouvier,Geoff Bouvier,California,,-118.755997,36.7014631,0,0
https://en.wikipedia.org/wiki/Cathy_Smith_Bowers,Cathy Smith Bowers,,,0,0,0,0
https://en.wikipedia.org/wiki/Edgar_Bowers,Edgar Bowers,,,0,0,0,0
https://en.wikipedia.org/wiki/Kay_Boyle,Kay Boyle,,,0,0,0,0
https://en.wikipedia.org/wiki/Virginia_Frazer_Boyle,Virginia Frazer Boyle,,,0,0,0,0
https://en.wikipedia.org/wiki/William_Brandon_(author),William Brandon (author),,,0,0,0,0
https://en.wikipedia.org/wiki/Anne_Bradstreet,Anne Bradstreet,,,0,0,0,0
https://en.wikipedia.org/wiki/Mae_Bramhall,Mae Bramhall,,,0,0,0,0
https://en.wikipedia.org/wiki/Adelia_Pope_Branham,Adelia Pope Branham,,,0,0,0,0
https://en.wikipedia.org/wiki/Beth_Brant,Beth Brant,"Detroit, Michigan","Melvindale, Michigan",-83.0466403,42.3315509,-83.175203,42.2825383
https://en.wikipedia.org/wiki/Giannina_Braschi,Giannina Braschi,,,0,0,0,0
https://en.wikipedia.org/wiki/Richard_Brautigan,Richard Brautigan,,,0,0,0,0
https://en.wikipedia.org/wiki/Kate_Braverman,Kate Braverman,Philadelphia,"Santa Fe, New Mexico",-75.1635262,39.9527237,-105.938456,35.6876096
https://en.wikipedia.org/wiki/Donari_Braxton,Donari Braxton,,,0,0,0,0
https://en.wikipedia.org/wiki/Joseph_Payne_Brennan,Joseph Payne Brennan,,,0,0,0,0
https://en.wikipedia.org/wiki/Ken_Brewer,Ken Brewer,Indianapolis,"Providence, Rhode Island",-86.1583502,39.7683331,-71.4128343,41.8239891
https://en.wikipedia.org/wiki/Martha_Wadsworth_Brewster,Martha Wadsworth Brewster,"Lebanon, Connecticut","Lebanon, Connecticut",-72.2125789,41.6362097,-72.2125789,41.6362097
https://en.wikipedia.org/wiki/Kim_Bridgford,Kim Bridgford,,,0,0,0,0
https://en.wikipedia.org/wiki/Besmilr_Brigham,Besmilr Brigham,,,0,0,0,0
https://en.wikipedia.org/wiki/John_Malcolm_Brinnin,John Malcolm Brinnin,,,0,0,0,0
https://en.wikipedia.org/wiki/Eve_Brodlique,Eve Brodlique,,,0,0,0,0
https://en.wikipedia.org/wiki/Joseph_Brodsky,Joseph Brodsky,,,0,0,0,0
https://en.wikipedia.org/wiki/Louis_Daniel_Brodsky,Louis Daniel Brodsky,,,0,0,0,0
https://en.wikipedia.org/wiki/David_Bromige,David Bromige,,,0,0,0,0
https://en.wikipedia.org/wiki/William_Bronk,William Bronk,,,0,0,0,0
https://en.wikipedia.org/wiki/Charles_Timothy_Brooks,Charles Timothy Brooks,"Salem, Massachusetts","Newport, Rhode Island",-70.8967226,42.5195292,-71.3137707,41.4899827
https://en.wikipedia.org/wiki/Gwendolyn_Brooks,Gwendolyn Brooks,,,0,0,0,0
https://en.wikipedia.org/wiki/Maria_Gowen_Brooks,Maria Gowen Brooks,"Medford, Massachusetts",,-71.1061639,42.4184296,0,0
https://en.wikipedia.org/wiki/Alice_Williams_Brotherton,Alice Williams Brotherton,,,0,0,0,0
https://en.wikipedia.org/wiki/Olga_Broumas,Olga Broumas,,,0,0,0,0
https://en.wikipedia.org/wiki/Alice_Brown_(writer),Alice Brown (writer),,,0,0,0,0
https://en.wikipedia.org/wiki/Harry_Brown_(writer),Harry Brown (writer),,,0,0,0,0
https://en.wikipedia.org/wiki/Rita_Mae_Brown,Rita Mae Brown,,,0,0,0,0
https://en.wikipedia.org/wiki/Emma_Alice_Browne,Emma Alice Browne,,,0,0,0,0
https://en.wikipedia.org/wiki/Francis_Fisher_Browne,Francis Fisher Browne,,"Santa Barbara, California",0,0,-119.702667,34.4221319
https://en.wikipedia.org/wiki/William_Cullen_Bryant,William Cullen Bryant,,,0,0,0,0
https://en.wikipedia.org/wiki/Jack_Buck,Jack Buck,"Holyoke, Massachusetts",St. Louis,-72.60765,42.2071434,-90.1910154,38.6280278
https://en.wikipedia.org/wiki/David_Budbill,David Budbill,"Cleveland, Ohio","Montpelier, Vermont",-81.6936772,41.4996574,-72.5751208,44.2602164
https://en.wikipedia.org/wiki/Charles_Bukowski,Charles Bukowski,Andernach,Los Angeles,7.4023145,50.4391924,-118.242766,34.0536909
https://en.wikipedia.org/wiki/Gelett_Burgess,Gelett Burgess,,,0,0,0,0
https://en.wikipedia.org/wiki/Julia_de_Burgos,Julia de Burgos,,,0,0,0,0
https://en.wikipedia.org/wiki/Eudora_Stone_Bumstead,Eudora Stone Bumstead,,,0,0,0,0
https://en.wikipedia.org/wiki/David_R._Bunch,David R. Bunch,"Lowry City, Missouri",St. Louis,-93.7268774,38.1400275,-90.1910154,38.6280278
https://en.wikipedia.org/wiki/Henry_Cuyler_Bunner,Henry Cuyler Bunner,,,0,0,0,0
https://en.wikipedia.org/wiki/Jos%C3%A9_Antonio_Burciaga,José Antonio Burciaga,,,0,0,0,0
https://en.wikipedia.org/wiki/Gelett_Burgess,Gelett Burgess,,,0,0,0,0
https://en.wikipedia.org/wiki/Stanley_Burnshaw,Stanley Burnshaw,"New York City, New York",Martha's Vineyard,-74.0060152,40.7127281,-70.62081381546194,41.39204545
https://en.wikipedia.org/wiki/Amelia_Josephine_Burr,Amelia Josephine Burr,,,0,0,0,0
https://en.wikipedia.org/wiki/Maxwell_Struthers_Burt,Maxwell Struthers Burt,,,0,0,0,0
https://en.wikipedia.org/wiki/Raegan_Butcher,Raegan Butcher,,,0,0,0,0
https://en.wikipedia.org/wiki/Ellis_Parker_Butler,Ellis Parker Butler,,,0,0,0,0
https://en.wikipedia.org/wiki/Ray_Buttigieg,Ray Buttigieg,,,0,0,0,0
https://en.wikipedia.org/wiki/W._E._Butts,W. E. Butts,,,0,0,0,0
https://en.wikipedia.org/wiki/Kathryn_Stripling_Byer,Kathryn Stripling Byer,,,0,0,0,0
https://en.wikipedia.org/wiki/Witter_Bynner,Witter Bynner,New York City,"Santa Fe, New Mexico",-74.0060152,40.7127281,-105.938456,35.6876096
https://en.wikipedia.org/wiki/Gilbert_Byron,Gilbert Byron,,,0,0,0,0
https://en.wikipedia.org/wiki/Alex_Caldiero,Alex Caldiero,,,0,0,0,0
https://en.wikipedia.org/wiki/James_Edwin_Campbell_(poet),James Edwin Campbell (poet),,,0,0,0,0
https://en.wikipedia.org/wiki/Mary_Baine_Campbell,Mary Baine Campbell,,,0,0,0,0
https://en.wikipedia.org/wiki/Melville_Henry_Cane,Melville Henry Cane,,,0,0,0,0
https://en.wikipedia.org/wiki/Francesca_Anna_Canfield,Francesca Anna Canfield,,,0,0,0,0
https://en.wikipedia.org/wiki/Skipwith_Cannell,Skipwith Cannell,,,0,0,0,0
https://en.wikipedia.org/wiki/Joe_Cardarelli,Joe Cardarelli,,,0,0,0,0
https://en.wikipedia.org/wiki/Will_Carleton,Will Carleton,,,0,0,0,0
https://en.wikipedia.org/wiki/Thomas_John_Carlisle,Thomas John Carlisle,,,0,0,0,0
https://en.wikipedia.org/wiki/Jim_Carroll,Jim Carroll,,,0,0,0,0
https://en.wikipedia.org/wiki/Hayden_Carruth,Hayden Carruth,,,0,0,0,0
https://en.wikipedia.org/wiki/Guy_Wetmore_Carryl,Guy Wetmore Carryl,,,0,0,0,0
https://en.wikipedia.org/wiki/Jared_Carter_(poet),Jared Carter (poet),,,0,0,0,0
https://en.wikipedia.org/wiki/Willa_Cather,Willa Cather,,,0,0,0,0
https://en.wikipedia.org/wiki/Raymond_Carver,Raymond Carver,,,0,0,0,0
https://en.wikipedia.org/wiki/Phoebe_Cary,Phoebe Cary,,,0,0,0,0
https://en.wikipedia.org/wiki/Marietta_Stanley_Case,Marietta Stanley Case,,,0,0,0,0
https://en.wikipedia.org/wiki/Cyrus_Cassells,Cyrus Cassells,,,0,0,0,0
https://en.wikipedia.org/wiki/Ana_Castillo,Ana Castillo,,,0,0,0,0
https://en.wikipedia.org/wiki/Sandra_M._Castillo,Sandra M. Castillo,"Havana, Cuba",,-82.3589631,23.135305,0,0
https://en.wikipedia.org/wiki/Madison_Cawein,Madison Cawein,"Louisville, Kentucky",,-85.759407,38.2542376,0,0
https://en.wikipedia.org/wiki/Thomas_Centolella,Thomas Centolella,,,0,0,0,0
https://en.wikipedia.org/wiki/Joseph_Ceravolo,Joseph Ceravolo,,,0,0,0,0
https://en.wikipedia.org/wiki/Catherine_Chandler,Catherine Chandler,,,0,0,0,0
https://en.wikipedia.org/wiki/Tina_Chang,Tina Chang,,,0,0,0,0
https://en.wikipedia.org/wiki/William_Ellery_Channing_(poet),William Ellery Channing (poet),,,0,0,0,0
https://en.wikipedia.org/wiki/Arthur_Chapman_(poet),Arthur Chapman (poet),"Rockford, Illinois",New York City,-89.093966,42.2713945,-74.0060152,40.7127281
https://en.wikipedia.org/wiki/John_Jay_Chapman,John Jay Chapman,,,0,0,0,0
https://en.wikipedia.org/wiki/Fred_Chappell,Fred Chappell,,,0,0,0,0
https://en.wikipedia.org/wiki/Ang%C3%A9lico_Ch%C3%A1vez,Angélico Chávez,,,0,0,0,0
https://en.wikipedia.org/wiki/Alexander_Chee,Alexander Chee,,,0,0,0,0
https://en.wikipedia.org/wiki/Neeli_Cherkovski,Neeli Cherkovski,"Santa Monica, California",,-118.491227,34.0194704,0,0
https://en.wikipedia.org/wiki/Maxine_Chernoff,Maxine Chernoff,,,0,0,0,0
https://en.wikipedia.org/wiki/Kelly_Cherry,Kelly Cherry,,,0,0,0,0
https://en.wikipedia.org/wiki/James_Wm._Chichetto,James Wm. Chichetto,,,0,0,0,0
https://en.wikipedia.org/wiki/William_Childress,William Childress,,,0,0,0,0
https://en.wikipedia.org/wiki/Khendum_Choden,Khendum Choden,,,0,0,0,0
https://en.wikipedia.org/wiki/Franny_Choi,Franny Choi,,,0,0,0,0
https://en.wikipedia.org/wiki/Chrystos,Chrystos,,,0,0,0,0
https://en.wikipedia.org/wiki/John_Ciardi,John Ciardi,,,0,0,0,0
https://en.wikipedia.org/wiki/Noah_Cicero,Noah Cicero,,,0,0,0,0
https://en.wikipedia.org/wiki/Sandra_Cisneros,Sandra Cisneros,,,0,0,0,0
https://en.wikipedia.org/wiki/Carson_Cistulli,Carson Cistulli,"Concord, New Hampshire",,-71.537476,43.207178,0,0
https://en.wikipedia.org/wiki/Amy_Clampitt,Amy Clampitt,,,0,0,0,0
https://en.wikipedia.org/wiki/Tom_Clark_(poet),Tom Clark (poet),,,0,0,0,0
https://en.wikipedia.org/wiki/Walter_Van_Tilburg_Clark,Walter Van Tilburg Clark,,,0,0,0,0
https://en.wikipedia.org/wiki/John_Lee_Clark,John Lee Clark,,,0,0,0,0
https://en.wikipedia.org/wiki/John_Clarke_(poet),John Clarke (poet),,,0,0,0,0
https://en.wikipedia.org/wiki/Lucille_Clifton,Lucille Clifton,"Depew, New York","Baltimore, Maryland",-78.6956723,42.9022047,-76.610759,39.2908816
https://en.wikipedia.org/wiki/Joshua_Clover,Joshua Clover,,,0,0,0,0
https://en.wikipedia.org/wiki/Florence_Earle_Coates,Florence Earle Coates,,,0,0,0,0
https://en.wikipedia.org/wiki/Grace_Stone_Coates,Grace Stone Coates,,,0,0,0,0
https://en.wikipedia.org/wiki/Stanton_A._Coblentz,Stanton A. Coblentz,,,0,0,0,0
https://en.wikipedia.org/wiki/Andrei_Codrescu,Andrei Codrescu,,,0,0,0,0
https://en.wikipedia.org/wiki/Robert_P._T._Coffin,Robert P. T. Coffin,,,0,0,0,0
https://en.wikipedia.org/wiki/Ira_Cohen,Ira Cohen,,,0,0,0,0
https://en.wikipedia.org/wiki/Nan_Cohen,Nan Cohen,,,0,0,0,0
https://en.wikipedia.org/wiki/Jim_Cohn,Jim Cohn,,,0,0,0,0
https://en.wikipedia.org/wiki/Henri_Cole,Henri Cole,,,0,0,0,0
https://en.wikipedia.org/wiki/Norma_Cole,Norma Cole,,,0,0,0,0
https://en.wikipedia.org/wiki/Wanda_Coleman,Wanda Coleman,"Los Angeles, CA","Los Angeles, CA",-118.242766,34.0536909,-118.242766,34.0536909
https://en.wikipedia.org/wiki/Billy_Collins,Billy Collins,,,0,0,0,0
https://en.wikipedia.org/wiki/Martha_Collins_(poet),Martha Collins (poet),,,0,0,0,0
https://en.wikipedia.org/wiki/Betsy_Colquitt,Betsy Colquitt,,,0,0,0,0
https://en.wikipedia.org/wiki/Shanna_Compton,Shanna Compton,,,0,0,0,0
https://en.wikipedia.org/wiki/Hilda_Conkling,Hilda Conkling,,,0,0,0,0
https://en.wikipedia.org/wiki/Evan_S._Connell,Evan S. Connell,,,0,0,0,0
https://en.wikipedia.org/wiki/Leo_Connellan,Leo Connellan,,,0,0,0,0
